City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket
Kolkata,28/12/2018,222.12,336.24,89.06,123.76,202.67,18.61,1.25,15.3,27.13,13.87,24.67,387,'Very Poor'
Kolkata,29/12/2018,237.11,348.02,121.27,120.58,224.02,17.35,1.26,16.06,32.55,9.72,21.45,379,'Very Poor'
Kolkata,30/12/2018,187.3,285.55,33.43,105.12,136.55,21.86,0.73,18.29,37.12,4.6,9.56,370,'Very Poor'
Kolkata,31/12/2018,177.21,276.41,62.52,99.5,130.83,21.22,0.86,17.07,42.57,9.24,19.3,341,'Very Poor'
Kolkata,01/01/2019,209.31,326.78,77.81,114.44,181.53,22.05,0.95,15.4,30.24,13.11,27.15,370,'Very Poor'
Kolkata,02/01/2019,172.39,261.09,68.97,107.85,174.35,22.9,0.87,15.62,31.57,12.08,26.17,351,'Very Poor'
Kolkata,03/01/2019,244.09,381.78,180,150.01,293.1,17.46,1.26,26.2,29.72,25.21,38.92,363,'Very Poor'
Kolkata,04/01/2019,264.84,385.24,88.23,124.79,155.73,27.33,1.13,17.16,38.73,23.33,35.33,431,Severe
Kolkata,05/01/2019,219.26,332.24,107.44,115.8,188.3,27.42,1.17,15.03,27.99,16.59,33.74,391,'Very Poor'
Kolkata,06/01/2019,159.43,252.16,79.2,103.2,165.36,25.95,0.89,15.71,26.33,14.28,22.28,346,'Very Poor'
Kolkata,07/01/2019,158.89,263.39,123.86,122.66,204.26,25.3,1.07,18.81,25.28,21.29,28.14,335,'Very Poor'
Kolkata,08/01/2019,175.47,265.22,114.38,95.12,168.48,26.49,1.07,15.88,26.97,17.98,42.71,335,'Very Poor'
Kolkata,09/01/2019,189.25,283.42,133.55,85.5,177.89,26.33,1.05,17.69,30.2,18.89,36.31,346,'Very Poor'
Kolkata,10/01/2019,227.08,326.44,96.3,105.92,176.34,23.65,1.19,17.29,40.45,23.41,35.98,369,'Very Poor'
Kolkata,11/01/2019,211.01,317.78,100.51,105.53,188.16,25.53,1.24,17.27,41.86,22.38,42.17,369,'Very Poor'
